,author,username,retweet_count,tweets,created_at
67,,Depruttt,0,Ini corona ada baru lagi 🤧 jaga kesehatan ya kalian semua. Jangan lupa makan teratur sama minum vitamin. Cuacanya juga lagi kurang bagus,2022-10-23 13:17:40
68,,httpsatpol,0,"@cheomical iyaa ini juga pertama kali lagi abis corona, cuma kaya pembuka aja buat adek kelas 10 sekalian event event terakhir sebelum regen osis",2022-10-23 13:04:03
69,,cheomical,0,@httpsatpol sma kelas 10 aku kan corona,2022-10-23 13:01:31
70,,PuisiSex,0,bisakah tidur membantu sistem kekebalan anda untuk melawan virus corona,2022-10-23 13:01:24
71,,Yasmine_Ghonemi,0,@Saragazarinn khaly dodo tefrah galy corona bayenn😂😂😂😂,2022-10-23 13:01:15
72,detikcom,HafizWijoyo,3,Pemerintah mendeteksi ada tambahan 1.685 kasus baru Corona (COVID-19) di Indonesia. Jumlah tersebut merupakan data terbaru hari ini. https://t.co/8NEOLijjOs,2022-10-23 12:58:01
73,,Berita_Corona,0,#Update Covid-19 Indonesia 23 Oktober 2022: Kasus Corona Baru Hari Ini 1.685 - Pikiran Rakyat Depok - Pikiran Rakyat Depok #Corona #Korona #VirusCorona https://t.co/O7iy6q9MNy,2022-10-23 12:53:08
74,,ridwanhsbcjacks,0,@WongAlasRoban semenjak corona dilarang ngobrol dan terima tlp di KRL,2022-10-23 12:52:57
75,,odiaarys,0,"@kweranjang tu sebelum corona, setelahnya aku beneran gak paham kimia tapi aku tetep suka kimia soalnya gurunya baik",2022-10-23 12:51:10
76,detikcom,GenerasiPeneru6,3,Pemerintah mendeteksi ada tambahan 1.685 kasus baru Corona (COVID-19) di Indonesia. Jumlah tersebut merupakan data terbaru hari ini. https://t.co/8NEOLijjOs,2022-10-23 12:47:03
77,,detikcom,3,Pemerintah mendeteksi ada tambahan 1.685 kasus baru Corona (COVID-19) di Indonesia. Jumlah tersebut merupakan data terbaru hari ini. https://t.co/8NEOLijjOs,2022-10-23 12:45:14
78,,thecanarapost,0,"Udupi district Covid report 
https://t.co/Ghsass4nPM 
#Udupi #COVID19 #Corona 
@thisisudupi @manipalblog",2022-10-23 12:41:33
79,,iAlfarizee,0,@MaulidaNisti Ya atuh da kan kalau corona suka pake sensi:'),2022-10-23 12:37:27
80,,KATADATAcoid,0,"Kasus Covid-19 secara nasional bertambah 1.685 kasus menjadi sebanyak 6.470.961 kasus. Sedangkan, DKI Jakarta masih berada di provinsi dengan kasus Corona terbanyak, 1, 42 juta atau setara 22, 2%. https://t.co/rWmw9cdY7J",2022-10-23 12:35:33
81,,paulmwite3,0,@BahatiKenya @mueni_bahati Corona bahati,2022-10-23 12:33:42
82,,CongekShua,0,"Semenjak corona g pernah keluar rmh samsek. Sampe skg pun keluar rumah jarang2. Giliran keluar rumah, seringan pulangnya tumbang 🥴",2022-10-23 12:31:40
83,,appledwaterace,0,Corona noh nyusahin https://t.co/SbspLa2Vni,2022-10-23 12:30:52
84,YUVSTRONG12,Corona_Offl,6970,King kohli is back !!’ @imVkohli #indiavspak,2022-10-23 12:20:09
85,,kemendickbud,0,"@collegemenfess enakan hybrid, tapi gua paham ini ga anak rantau friendly. kalau full offline capek, kalau full online sama aja kayak sma angkatan corona lama2 jadi bego. tp menurut gue mending full offline sih, karna biar bisa pakai fasilitas kampus yang konon bayaran persemesternya mahal itu..",2022-10-23 12:14:22
86,asumsico,paper_planne,2123,"🚨BREAKING NEWS🚨

Menteri Kesehatan Budi Gunadi Sadikin mengungkapkan virus Corona subvarian Omicron XBB sudah ditemukan di Indonesia. https://t.co/srf8uPuWin",2022-10-23 12:08:12
87,pikiran_rakyat,PRDepok,1,Update Covid-19 Indonesia 23 Oktober 2022: Kasus Corona Baru Hari Ini 1.685 https://t.co/9p17AUGZcW https://t.co/r1xHp2Uwlj,2022-10-23 12:02:09
88,,pikiran_rakyat,1,Update Covid-19 Indonesia 23 Oktober 2022: Kasus Corona Baru Hari Ini 1.685 https://t.co/9p17AUGZcW https://t.co/r1xHp2Uwlj,2022-10-23 11:59:33
89,,AlbertSolo2,1,Kasus baru positif Covid-19 atau corona di Indonesia masih tinggi @kontanNews https://t.co/n8tje3FuWz,2022-10-23 11:57:22
90,,Tian_A1,0,"Pasien #Covid19 Omicron XBB Terdeteksi di #Surabaya [ https://t.co/JcJcAmTUGT ] dr Syahril menjelaskan bahwa saat ini status #Indonesia masih pandemi Covid-19 dan virus Corona secara alamiah akan terus bermutasi.Maka dari itu, Kemenkes akan https://t.co/R34APWxlKc",2022-10-23 11:57:14
91,,tasyafeperda,0,corona menyita waktuku,2022-10-23 11:56:55
92,,dumbojein,0,"slh satu hal yg gue benci bgt dr covid adlh krn covid itu ada pas golden yearnya akh pas smp alias wktu itu bnr bnr kurg dr sebulan ak ada lomba tonti, lomba dance, sm ada event tryout yg aku ini kan mpk yah jdnya ngurusin. f u corona anjenk",2022-10-23 11:55:55
93,,Yungkeed526,0,@atmwaks @kucomrade_ Tunatumianga masks mwanzo tulishika za kuuza lakini wasee wakasema hawaogopi corona 😂😂,2022-10-23 11:55:07
94,,JeDantegurl,0,Gaiss gw berdoa semoga nanti the link ice bsd di lancarin. Soalnya gw parno jir liat berita tentang corona baru😭😭,2022-10-23 11:54:37
95,,celinespacee,0,"dulu pas paskib sering bgt makan kek gini sebelum corona, gatau skrg masih ada apa engga https://t.co/tRKNrdg61u",2022-10-23 11:53:52
96,,vinsent_corona,0,@mrgxbbblu waaaaahhhh😭😭😭😭 kase ih😭,2022-10-23 11:52:41
97,,Gitasa725,0,"@binti_fauziyah Warna abuhhhh😤
Mo ngalahin sultan baran din 😂🤣
Punya jet tapi halu kayaknya, emenci halu pengen kyk sinetron sebelah yg ada wujud jet nyatanya tp emenci kagak mo modal. Mobil baran yg lama2 aja udh ga kelihatan apalagi mo beli'in mobil baru bisa kena corona MNC 🤪",2022-10-23 11:50:36
98,,AldyNarendra,0,"corona versi XBB, lama2 versi MMQ anj",2022-10-23 11:47:36
99,,tribunnews,0,"BREAKING NEWS Update Covid-19 Indonesia Minggu, 23 Oktober 2022: Tambah 1.685 Kasus, 13 Meninggal
 
https://t.co/6a92Mzi8r3",2022-10-23 11:46:47
100,,snoviwhite,0,"@UPIfess corona insyaf liat ini. 

mangat maruuu",2022-10-23 11:45:48
101,,koowiniess,0,"udah awal2 zonasi, terus kelas 11 masuk corona. tau2 udah lulus. gak ada graduate",2022-10-23 11:45:43
102,,kiiimsun,0,"klo corona nnti ad pt 2, gw udh siap bgt  jujur🙂",2022-10-23 11:43:14
103,,lurelune,0,@changbinistic kaya virus corona,2022-10-23 11:34:50
104,merwal_yuvraj,VijaySh05412302,3,@AnkitAnitaSingh @TheUpenYadav Rajasthan my congrass corona warios ko job daky nikl deya 28000 cha ko barojgre krky phli sarkar bnhi nikmi yassi dusri sarkar ny kbi nhi keya,2022-10-23 11:26:51
105,lensaRTV,TheMartaSaputra,1,"Kasus Covid-19 alami kenaikan hingga 1.685. Sementara itu total pasien konfirmasi corona di Indonesia mencapai 6.470.961 orang, jumlah pasien sembuh 6.293.147 orang dan 158.429 orang lainnya meninggal dunia. 
#CerdasCovid19 #UpdateCovid19 #YukVaksinCovid https://t.co/sCB5lWwZZq",2022-10-23 11:21:14
106,Chala_kyun,kyuhanjoong,5,"@collegemenfess Maaf kasar tp klo g ikhlas bilang nder
G semua org tubuhny kuat. Banyak loh org yg mudah sakit. Lalu kalo semester 3 berarti dia setahun d bawah aku ya alias masih masuk generasi corona. Mgkn dia jg butuh adaptasi lagi balek ke offline
Kamu bisa kuliah sambil kerja? Good for u",2022-10-23 11:11:31
